time,position,positionVelocity,angle,angleVelocity,angleReference,force
0,0.2,0,0.0872664625997165,0,-0.02408,6.68301468523498
0.02,0.201290881406291,0.12909291963353,0.0855928833326946,-0.16745138254424,-0.0449702892626822,5.32685781026291
0.04,0.204899603996728,0.231791993711464,0.0809564642609781,-0.296445797342422,-0.0619171476676029,4.13342542052099
0.06,0.210330430707854,0.31130866860127,0.0740702676957255,-0.392547911540724,-0.07537564702759,3.08922079352502
0.08,0.217149081439401,0.370577855521305,0.0655424227096783,-0.460694536496103,-0.0857638146551571,2.18166690243281
0.1,0.224977422527975,0.412279817967518,0.0558879088461032,-0.505270667894952,-0.0934655205461911,1.39884352168546
0.12,0.233488532522604,0.438855899472615,0.0455389963183443,-0.530167798769167,-0.0988324221993712,0.729353334467866
0.14,0.242402046675544,0.452520688592695,0.0348546495346728,-0.538829454252463,-0.102185370975607,0.162285422182483
0.16,0.251479729948181,0.455272737912516,0.0241291031522229,-0.534288633094716,-0.103815612751474,-0.312761642528193
0.18,0.260521263614613,0.448905236095835,0.0135997365868745,-0.519200734802158,-0.103986005006223,-0.705629911943944
0.2,0.26936025182148,0.43501735632764,0.0034543136937626,-0.495874288811744,-0.102932366928864,-1.02554914670351
0.22,0.277860463765345,0.415026486872427,-0.00616238115840132,-0.466300713475697,-0.1008649974348,-1.28109532511096
0.24,0.285912327903195,0.390181214269981,-0.0151424959594901,-0.432183538878769,-0.0979703424461121,-1.48016733661392
0.26,0.293429690256322,0.361574754740053,-0.0234096418580124,-0.394967032977865,-0.0944127642798014,-1.6299831295419
0.28,0.300346842209498,0.330158474107658,-0.0309139870881061,-0.355863923011919,-0.090336356349883,-1.73709322226821
0.3,0.306615816218833,0.296755158549863,-0.037627892266568,-0.315881832790646,-0.0858667490682436,-1.80740783941915
0.32,0.312203941710085,0.262071761781457,-0.0435420580277984,-0.275848093763076,-0.0811128622209328,-1.84623349443421
0.34,0.317091648737093,0.226711432566475,-0.0486621500005468,-0.236432679548521,-0.0761685710492716,-1.8583151414595
0.36,0.321270503806282,0.191184702693341,-0.0530058621835629,-0.198169121887003,-0.0711142650793954,-1.84788069765234
0.38,0.324741460523899,0.155919780529112,-0.056600377939776,-0.161473367420851,-0.0660182889234423,-1.81868553717037
0.4,0.327513307124823,0.121271945289337,-0.0594801878410436,-0.126660617477883,-0.060938262200039,-1.77405532401891
0.42,0.329601293194459,0.0875320721072368,-0.0616852250407135,-0.093960253105046,-0.0559222813365372,-1.71692620109075
0.44,0.331025918715023,0.0549343397157028,-0.063259281281646,-0.0635289858353527,-0.0510100095838454,-1.64988185709676
0.46,0.331811869716831,0.0236631837682423,-0.0642486696578651,-0.0354623943941199,-0.0462336635003554,-1.57518735318396
0.48,0.331987086111792,-0.00614043765344371,-0.0647011035101768,-0.00980501302131452,-0.0416189048747257,-1.49481982524108
0.5,0.331581948601712,-0.0343734014187582,-0.0646647641066977,0.0134408674694546,-0.0371856469505064,-1.41049631146707
0.52,0.330628572806288,-0.060965339364293,-0.0641875328744876,0.034307535670885,-0.0329487832128926,-1.32369901376308
0.54,0.329160199899534,-0.0858740668466264,-0.0633163668110644,0.05285519666839,-0.0289188461468685,-1.23569830936984
0.56,0.327210674060403,-0.109081472245125,-0.0620967982684815,0.0691661898095656,-0.0251026024520371,-1.14757380530344
0.58,0.324813997933599,-0.130589825993342,-0.0605725425585805,0.0833399819701173,-0.0215035903162794,-1.06023368749141
0.6,0.322003958070758,-0.150418473136971,-0.0587851987907741,0.0954888451744294,-0.0181226035729861,-0.97443256986031
0.62,0.318813812997165,-0.168600877922654,-0.0567740310520505,0.105734139801644,-0.0149581269236446,-0.89078800317173
0.64,0.315276037143135,-0.185181992505722,-0.0545758185079816,0.114203135146653,-0.0120067259027273,-0.809795763459596
0.66,0.311422114409858,-0.200215924615071,-0.0522247642796243,0.121026307861221,-0.00926339488300227,-0.731844007611079
0.68,0.307282375622072,-0.213763881070185,-0.049752454068225,0.126335065954062,-0.00672186614589847,-0.657226359519176
